District,Budget,Target_Audience,Location,Sustainability_Factors,Impact_Score
Indore,807611,18175,2,9,93.98
Jabalpur,384806,12149,2,4,40.68
Bhopal,894824,2136,2,4,60.39
Jabalpur,130535,17582,2,1,35.88
Jabalpur,475713,5237,1,8,38.87
Betul,938688,15055,3,3,73.82
Bhopal,451279,14377,2,7,69.17
Bhopal,921654,1354,4,2,46.79
Bhopal,701661,6355,3,2,49.84
Jabalpur,747972,7892,3,7,59.16
Indore,589570,14449,2,6,64.53
Bhopal,556551,18591,1,3,65.78
Jabalpur,373109,6291,2,9,42.59
Betul,124538,5431,1,6,27.36
Indore,994498,702,4,6,63.72
Betul,301664,11947,3,1,27.5
Indore,591234,13188,4,4,65.19
Jabalpur,999684,4889,1,6,70.2
Rewa,239182,2827,1,6,23.57
Indore,572525,8504,4,5,45.6
Betul,258338,19815,1,1,58.07
Jabalpur,284064,8277,4,8,39.1
Indore,314020,697,3,5,13.32
Rewa,723094,2430,4,5,45.53
Rewa,997421,12274,3,7,87.04
Bhopal,715270,15587,4,4,72.43
Bhopal,745914,9839,1,6,61.64
Betul,219176,12089,4,4,29.63
Indore,318126,19395,1,3,56.37
Indore,318969,16208,4,7,70.33
Bhopal,222409,17543,4,8,45.68
Indore,647707,3311,2,4,38.39
Indore,353618,14743,1,2,50.93
Rewa,869598,7046,2,3,59.05
Bhopal,150015,2486,1,1,11.77
Jabalpur,872838,8838,2,8,81.04
Bhopal,222096,11911,3,3,31.56
Jabalpur,731347,3411,4,7,49.02
Rewa,285340,2234,1,5,26.04
Betul,210687,18727,1,5,50.26
Indore,974371,9180,4,7,65.58
Rewa,511357,19860,1,9,78.93
Indore,835716,18843,1,5,94.84
Betul,205878,6259,2,1,23.93
Betul,827270,2885,1,1,47.88
Rewa,298286,11611,3,2,37.95
Betul,873290,5236,3,6,58.24
Jabalpur,874684,2302,4,9,62.96
Betul,264899,8655,1,8,38.83
Indore,424767,8620,4,5,34.39
Indore,961882,7116,3,1,52.32
Indore,979858,14757,1,7,88.2
Indore,479989,14986,1,5,65.57
Jabalpur,515515,17146,4,6,65.46
Bhopal,143585,14575,3,7,41.64
Rewa,471369,9708,1,3,48.58
Indore,164044,16871,4,3,42.58
Betul,542296,12335,3,5,59.82
Indore,209556,13668,4,6,48.65
Betul,626981,2549,2,9,42.78
Betul,981691,5923,1,5,55.53
Indore,867595,15089,2,1,70.9
Jabalpur,300235,19992,3,4,52.3
Betul,125939,7658,2,5,30.87
Betul,252906,10748,2,5,35.62
Indore,642335,7900,3,7,45.44
Betul,388249,10374,4,4,38.49
Betul,175766,15651,2,1,31.73
Indore,508923,19139,4,5,74.37
Indore,515192,1654,2,7,39.53
Rewa,668550,4999,4,6,50.86
Jabalpur,487261,6795,3,5,44.53
Jabalpur,910208,12683,2,4,78.68
Betul,785440,13374,3,2,71.09
Jabalpur,752664,18532,2,4,75.6
Betul,554589,6039,3,3,33.61
Rewa,237848,10137,3,1,25.83
Indore,717075,16086,2,8,77.4
Indore,227948,3057,2,5,9.79
Indore,679304,6092,2,4,55.46
Jabalpur,502690,16982,1,8,60.41
Rewa,599046,2700,4,7,44.05
Jabalpur,551269,14672,1,2,57.87
Jabalpur,121959,3461,1,1,14.75
Rewa,760890,14707,3,4,67.5
Rewa,850216,12469,2,8,78.13
Rewa,890180,3369,4,2,47.09
Rewa,328576,17840,3,3,50.23
Indore,637833,14492,1,1,56.69
Bhopal,265838,6199,2,1,32.42
Bhopal,435674,4487,3,3,33.49
Rewa,979989,13946,2,5,83.04
Bhopal,161087,1718,3,3,8.01
Bhopal,693128,5235,2,1,43.05
Rewa,218451,11796,1,1,29.88
Bhopal,547600,5055,4,8,42.23
Jabalpur,937437,9646,1,2,61.92
Betul,539792,8550,4,3,51.74
Betul,139353,13257,2,2,30.3
Rewa,293075,17929,3,3,47.04
